,MAPE,MSPE,Large Forecast Error
y_test,0.0,0.0,0.0
y_hat_rw,0.5843682674878337,0.47266481423808876,0.3220844811753903
y_hat_sarima_br,0.5269849677337883,0.41068857036412976,0.2654576063666973
y_hat_sarima_f,0.5267488635296556,0.4128049929839227,0.27280379553106826
y_hat_sarima_g,0.5340636398159204,0.4233902405400917,0.2864248546066728
y_hat_umlp,0.6030288989350916,0.4890306022314517,0.3154269972451791
y_hat_mlm1,0.5855431040459427,0.48052652291435977,0.3435873890419345
y_hat_mlm2,0.5970327526822363,0.494134108346864,0.3590449954086318
y_hat_mlm3,0.609443804142507,0.5089603686242885,0.3736608509335782
y_hat_mlm4,0.8053810626502055,0.7471058988322129,0.647995102540557
