,決算期,決算月数,決算種別フラグ,連結基準フラグ,実績・予想フラグ,資料公表日／決算発表日,最新予想フラグ,１株当たり利益＜累計＞
36,2007/03,12,10,2,0,2006/05/10,0,404.1
37,2007/03,12,10,2,0,2006/08/04,0,407.36
38,2007/03,12,10,2,0,2006/11/07,0,481.95
39,2007/03,12,10,2,0,2007/02/06,1,484.75
42,2008/03,12,10,2,0,2007/05/09,0,515.96
43,2008/03,12,10,2,0,2007/08/03,0,517.34
44,2008/03,12,10,2,0,2007/11/07,0,533.81
45,2008/03,12,10,2,0,2008/02/05,1,536.3
46,2008/03,12,10,2,2,2008/05/08,,540.65
47,2008/03,12,10,2,2,2009/05/08,,540.65
48,2008/06,3,21,2,2,2008/08/07,,112.3
49,2008/06,3,21,2,2,2009/08/04,,112.3
50,2008/09,6,22,2,0,2008/05/08,0,190.52
51,2008/09,6,22,2,0,2008/08/07,1,190.52
52,2008/09,6,22,2,2,2008/11/06,,156.92
53,2008/09,6,22,2,2,2009/11/05,,156.92
54,2008/12,9,23,2,2,2009/02/06,,104.66
55,2008/12,9,23,2,2,2010/02/04,,104.66
56,2009/03,12,10,2,0,2008/05/08,0,396.92
57,2009/03,12,10,2,0,2008/08/07,0,396.91
58,2009/03,12,10,2,0,2008/11/06,0,175.42
59,2009/03,12,10,2,0,2008/12/22,0,175.42
60,2009/03,12,10,2,0,2009/02/06,1,-111.6
61,2009/03,12,10,2,2,2009/05/08,,-139.13
62,2009/03,12,10,2,2,2010/05/11,,-139.13
63,2009/06,3,21,2,2,2009/08/04,,-24.82
64,2009/06,3,21,2,2,2010/08/04,,-24.82
65,2009/09,6,22,2,0,2009/05/08,0,-143.5
66,2009/09,6,22,2,0,2009/08/04,1,-79.72
67,2009/09,6,22,2,2,2009/11/05,,-17.85
68,2009/09,6,22,2,2,2010/11/05,,-17.85
69,2009/12,9,23,2,2,2010/02/04,,31.01
70,2009/12,9,23,2,2,2011/02/08,,31.01
71,2010/03,12,10,2,0,2009/05/08,0,-175.39
72,2010/03,12,10,2,0,2009/08/04,0,-143.5
73,2010/03,12,10,2,0,2009/11/05,0,-63.78
74,2010/03,12,10,2,0,2010/02/04,1,25.51
75,2010/03,12,10,2,2,2010/05/11,,66.79
76,2010/03,12,10,2,2,2011/05/11,,66.79
77,2010/06,3,21,2,2,2010/08/04,,60.74
78,2010/06,3,21,2,2,2011/08/02,,60.74
79,2010/09,6,22,2,0,2010/05/11,0,47.83
80,2010/09,6,22,2,0,2010/08/04,1,79.72
81,2010/09,6,22,2,2,2010/11/05,,92.21
82,2010/09,6,22,2,2,2011/11/08,,92.21
83,2010/12,9,23,2,2,2011/02/08,,122.06
84,2010/12,9,23,2,2,2012/02/07,,122.06
85,2011/03,12,10,2,0,2010/05/11,0,98.85
86,2011/03,12,10,2,0,2010/08/04,0,108.42
87,2011/03,12,10,2,0,2010/11/05,0,111.61
88,2011/03,12,10,2,0,2011/02/08,1,156.26
89,2011/03,12,10,2,2,2011/05/11,,130.17
90,2011/03,12,10,2,2,2012/05/09,,130.17
91,2011/06,3,21,2,2,2011/08/02,,0.37
92,2011/06,3,21,2,2,2012/08/03,,0.37
94,2011/09,6,22,2,0,2011/08/02,1,22.32
95,2011/09,6,22,2,2,2011/11/08,,26.02
96,2011/09,6,22,2,2,2012/11/05,,26.02
97,2011/12,9,23,2,2,2012/02/07,,51.83
98,2011/12,9,23,2,2,2013/02/05,,51.83
100,2012/03,12,10,2,0,2011/08/02,0,124.37
103,2012/03,12,10,2,0,2012/02/07,1,63.78
104,2012/03,12,10,2,2,2012/05/09,,90.21
105,2012/03,12,10,2,2,2013/05/08,,90.21
106,2012/06,3,21,2,2,2012/08/03,,91.68
107,2012/06,3,21,2,2,2013/08/02,,91.68
109,2012/09,6,22,2,2,2012/11/05,,173.13
110,2012/09,6,22,2,2,2013/11/06,,173.13
111,2012/12,9,23,2,2,2013/02/05,,204.68
112,2012/12,9,23,2,2,2014/02/04,,204.68
113,2013/03,12,10,2,0,2012/05/09,0,239.99
114,2013/03,12,10,2,0,2012/08/03,0,239.99
115,2013/03,12,10,2,0,2012/11/05,0,246.3
116,2013/03,12,10,2,0,2013/02/05,1,271.56
117,2013/03,12,10,2,2,2013/05/08,,303.82
118,2013/03,12,10,2,2,2014/05/08,,303.82
119,2013/06,3,21,2,2,2013/08/02,,177.45
120,2013/06,3,21,2,2,2014/08/05,,177.45
122,2013/09,6,22,2,2,2013/11/06,,315.8
123,2013/09,6,22,2,2,2014/11/05,,315.8
124,2013/12,9,23,2,2,2014/02/04,,481.6
125,2013/12,9,23,2,2,2015/02/04,,481.6
126,2014/03,12,10,2,0,2013/05/08,0,432.53
127,2014/03,12,10,2,0,2013/08/02,0,467.09
128,2014/03,12,10,2,0,2013/11/06,0,526.98
129,2014/03,12,10,2,0,2014/02/04,1,599.5
130,2014/03,12,10,2,2,2014/05/08,,575.3
131,2014/03,12,10,2,2,2015/05/08,,575.3
132,2014/06,3,21,2,2,2014/08/05,,185.43
133,2014/06,3,21,2,2,2015/08/04,,185.43
135,2014/09,6,22,2,2,2014/11/05,,356.08
136,2014/09,6,22,2,2,2015/11/05,,356.08
137,2014/12,9,23,2,2,2015/02/04,,545.94
138,2014/12,9,23,2,2,2016/02/05,,545.94
139,2015/03,12,10,2,0,2014/05/08,0,561.56
140,2015/03,12,10,2,0,2014/08/05,0,561.54
141,2015/03,12,10,2,0,2014/11/05,0,630.37
142,2015/03,12,10,2,0,2015/02/04,1,677.14
143,2015/03,12,10,2,2,2015/05/08,,688.02
144,2015/03,12,10,2,2,2016/05/11,,688.02
145,2015/06,3,21,2,2,2015/08/04,,205.41
146,2015/06,3,21,2,2,2016/08/04,,205.41
148,2015/09,6,22,2,2,2015/11/05,,399.39
149,2015/09,6,22,2,2,2016/11/08,,399.39
150,2015/12,9,23,2,2,2016/02/05,,601.44
151,2015/12,9,23,2,2,2017/02/06,,601.44
152,2016/03,12,10,2,0,2015/05/08,0,715.01
153,2016/03,12,10,2,0,2015/08/04,0,714.93
154,2016/03,12,10,2,0,2015/11/05,0,713.76
155,2016/03,12,10,2,0,2016/02/05,1,723.6
156,2016/03,12,10,2,2,2016/05/11,,741.36
157,2016/03,12,10,2,2,2017/05/10,,741.36
158,2016/06,3,21,2,2,2016/08/04,,181.12
159,2016/06,3,21,2,2,2017/08/04,,181.12
161,2016/09,6,22,2,2,2016/11/08,,311.08
162,2016/09,6,22,2,2,2017/11/07,,311.08
163,2016/12,9,23,2,2,2017/02/06,,472.31
164,2016/12,9,23,2,2,2018/02/06,,472.31
165,2017/03,12,10,2,0,2016/05/11,0,490.51
166,2017/03,12,10,2,0,2016/08/04,0,474.18
167,2017/03,12,10,2,0,2016/11/08,0,512.77
168,2017/03,12,10,2,0,2017/02/06,1,561.38
169,2017/03,12,10,2,2,2017/05/10,,605.47
170,2017/03,12,10,2,2,2018/05/09,,605.47
171,2017/06,3,21,2,2,2017/08/04,,205.05
172,2017/06,3,21,2,2,2018/08/03,,205.05
174,2017/09,6,22,2,2,2017/11/07,,359.55
175,2017/09,6,22,2,2,2018/11/06,,359.55
176,2017/12,9,23,2,2,2018/02/06,,677.95
177,2017/12,9,23,2,2,2019/02/06,,677.95
178,2018/03,12,10,2,0,2017/05/10,0,500.05
179,2018/03,12,10,2,0,2017/08/04,0,584.06
180,2018/03,12,10,2,0,2017/11/07,1,657.08
181,2018/03,12,10,2,0,2018/02/06,1,808.91
182,2018/03,12,10,2,2,2018/05/09,,842
183,2018/03,12,10,2,2,2019/05/08,,842
184,2018/06,3,21,2,2,2018/08/03,,224.67
185,2018/06,3,21,2,2,2019/08/02,,224.67
187,2018/09,6,22,2,2,2018/11/06,,427.02
188,2018/09,6,22,2,2,2019/11/07,,427.02
189,2018/12,9,23,2,2,2019/02/06,,489.82
190,2018/12,9,23,2,2,2020/02/06,,489.82
191,2019/03,12,10,2,0,2018/05/09,1,723.39
192,2019/03,12,10,2,0,2018/08/03,1,726.68
193,2019/03,12,10,2,0,2018/11/06,1,793.21
194,2019/03,12,10,2,0,2019/02/06,1,645.42
195,2019/03,12,10,2,2,2019/05/08,,650.55
196,2019/03,12,10,2,2,2020/05/12,,650.55
197,2019/06,3,21,3,2,2020/08/06,,218.62
199,2019/09,6,22,3,2,2020/11/06,,407.9
200,2019/12,9,23,2,2,2020/02/06,,712.46
201,2020/03,12,10,2,0,2019/05/08,1,788.37
202,2020/03,12,10,2,0,2019/08/02,1,754.71
203,2020/03,12,10,2,0,2019/11/07,1,760.8
204,2020/03,12,10,2,0,2020/02/06,1,832.84
205,2020/03,12,10,2,2,2020/05/12,,735.61
